City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,papatowai,-46.5619,169.4708,5.4,81,100,2.98,NZ,1722710560
84,poso,-1.3959,120.7524,24.05,79,94,2.35,ID,1722710560
85,flin flon,54.7682,-101.865,20.91,43,75,3.6,CA,1722710561
86,albany,42.6001,-73.9662,29.14,70,77,1.34,US,1722710397
87,longyearbyen,78.2186,15.6401,10.91,87,75,2.57,SJ,1722710562
88,buala,-8.145,159.5921,26.04,86,100,2.39,SB,1722710562
89,arkhangel'sk,64.5401,40.5433,16.06,100,20,2.0,RU,1722710562
90,deming,32.2687,-107.7586,33.94,21,0,3.09,US,1722710563
91,ismailia,30.6043,32.2723,27.7,66,0,4.67,EG,1722710563
92,eyl,7.9803,49.8164,25.72,76,66,10.75,SO,1722710564
93,antofagasta,-23.65,-70.4,16.6,76,100,3.17,CL,1722710164
94,saipan,15.1355,145.701,28.39,83,75,4.12,MP,1722710364
95,khairpur nathan shah,27.0936,67.7337,29.74,70,100,1.37,PK,1722710565
96,hotan,37.0997,79.9269,30.17,23,14,3.68,CN,1722710566
97,arhavi,41.3492,41.3069,23.95,81,21,1.7,TR,1722710566
98,blenheim,-41.516,173.9528,1.57,73,21,2.91,NZ,1722710567
99,susuman,62.7833,148.1667,5.83,73,8,0.76,RU,1722710567
100,colby,39.3958,-101.0524,33.03,39,0,6.17,US,1722710568
101,la passe,45.5549,-0.8967,23.13,76,1,3.66,FR,1722710568
102,san patricio,28.017,-97.5169,34.53,44,47,1.85,US,1722710568
103,amahai,-3.3333,128.9167,24.66,91,97,2.48,ID,1722710569
104,port lincoln,-34.7333,135.8667,10.91,73,100,3.86,AU,1722710546
105,nuuk,64.1835,-51.7216,4.34,87,20,4.12,GL,1722710417
106,margaret river,-33.95,115.0667,10.6,72,0,1.12,AU,1722710548
107,abu jibeha,11.4562,31.2285,25.12,70,100,2.33,SD,1722710571
108,ribeira brava,32.65,-17.0667,26.51,79,0,1.91,PT,1722710571
109,zhangatas,43.5667,69.75,25.25,24,0,2.08,KZ,1722710473
110,keyser,39.4409,-78.9739,31.25,65,50,3.36,US,1722710572
111,chonchi,-42.6128,-73.8092,8.95,90,100,2.0,CL,1722710560
112,morehead city,34.7229,-76.726,31.69,80,40,7.2,US,1722710573
113,al ghayzah,16.2079,52.176,25.84,84,41,6.91,YE,1722710573
114,georgetown,5.4112,100.3354,26.96,78,20,2.57,MY,1722710279
115,ngereklmadel,7.4883,134.4856,27.05,83,40,2.06,PW,1722710574
116,fauske,67.2588,15.3918,22.02,67,23,3.14,NO,1722710575
117,prince rupert,54.3161,-130.3201,17.05,74,0,3.09,CA,1722710575
118,sevastopol,44.6,33.5333,23.89,54,5,0.45,UA,1722710576
119,al bawiti,28.3492,28.8659,30.64,24,0,3.67,EG,1722710576
120,majene,-3.5403,118.9707,23.46,90,87,5.27,ID,1722710577
121,altay,47.8667,88.1167,19.5,40,2,2.6,CN,1722710577
122,qaryat suluq,31.6682,20.2521,28.16,56,0,4.72,LY,1722710578
123,kununurra,-15.7667,128.7333,14.99,94,10,1.54,AU,1722710578
124,konarka,19.9,86.1167,28.22,81,100,5.56,IN,1722710579
125,hermanus,-34.4187,19.2345,6.56,77,91,3.21,ZA,1722710559
126,chur,46.8499,9.5329,23.18,91,72,1.83,CH,1722710581
127,bikenibeu village,1.3673,173.1241,27.98,78,20,3.09,KI,1722710581
128,york,40.1254,-77.0,33.04,63,12,3.02,US,1722710582
129,puerto aysen,-45.4,-72.7,5.44,99,100,1.89,CL,1722710582
130,fortuna,40.5982,-124.1573,18.29,91,100,3.6,US,1722710582
131,aasiaat,68.7098,-52.8699,5.18,80,8,3.72,GL,1722710540
132,bekalta,35.6174,10.9947,30.01,73,85,6.8,TN,1722710583
133,sal rei,16.1833,-22.9167,27.11,69,75,1.03,CV,1722710584
134,taltal,-25.4,-70.4833,17.44,66,97,1.86,CL,1722710420
135,vila franca do campo,37.7167,-25.4333,25.23,70,60,0.21,PT,1722710585
136,vorgashor,67.5833,63.95,14.21,64,100,7.05,RU,1722710586
137,wailua homesteads,22.0669,-159.378,25.44,86,100,2.57,US,1722710586
138,ancud,-41.8697,-73.8203,9.18,82,100,6.48,CL,1722710572
139,kutum,14.2,24.6667,26.61,61,33,2.73,SD,1722710587
140,selfoss,63.9331,-20.9971,11.82,71,100,8.35,IS,1722710587
141,shendi,16.6915,33.4341,33.47,45,100,4.8,SD,1722710588
142,sisimiut,66.9395,-53.6735,8.75,73,21,3.06,GL,1722710543
143,tolanaro,-25.0319,46.9987,20.04,83,20,3.09,MG,1722710589
144,taiynsha,53.8478,69.7639,18.01,66,13,3.61,KZ,1722710589
145,qulsary,46.9531,54.0198,26.32,56,35,5.24,KZ,1722710590
146,arraial do cabo,-22.9661,-42.0278,24.98,73,40,8.75,BR,1722710475
147,talnakh,69.4865,88.3972,14.0,68,11,2.19,RU,1722710590
148,katsuura,35.1333,140.3,23.96,90,11,1.42,JP,1722710344
149,atafu village,-8.5421,-172.5159,28.24,75,73,6.86,TK,1722710591
150,barah,13.7,30.3667,30.64,50,100,3.94,SD,1722710592
